Evaluation/100instances/transT_eval_mean,_timestamp,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/global_critic_loss,Evaluation/100instances/obj_eval_std,_step,Evaluation/100instances/transT_eval_std,Evaluation/100instances/mk_eval_std,Evaluation/100instances/obj_eval_mean,_runtime,Training/Update/job_actor_loss,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_mean
,1746618134.836614,,,,,,,1212,,,,19825.23525449,,,
,1746618138.931951,,,,,,,1213,,,,19829.330640287,,,
,1746618175.8975122,,,,,0.5637337565422058,,1214,,,,19866.296310515,0.13076119124889374,0.09685597568750381,
,1746618183.6159368,,,,,,,1215,,,,19874.014612155,,,
,1746618187.7782505,,,,,,,1216,,,,19878.176881342,,,
,1746618192.4760897,,,,,,,1217,,,,19882.874770045,,,
,1746618195.9736633,,,,,,,1218,,,,19886.372237032,,,
270.6044227663624,1746618285.0545638,248.5414909519329,578.1021531684585,78.09068792931365,1058.1658953444253,0.5514028072357178,134.8459037403134,1219,45.013198481493156,71.6554371416075,918.6828002769836,19975.453512102,0.1675637811422348,0.06331729888916016,525.1367407963925
,1746618292.8189328,,,,,,,1220,,,,19983.217504542,,,
,1746618296.770574,,,,,,,1221,,,,19987.169181095,,,
,1746618300.5665174,,,,,,,1222,,,,19990.965043928,,,
,1746618304.5249333,,,,,,,1223,,,,19994.923541414,,,
,1746618341.4023433,,,,,0.5499005317687988,,1224,,,,20031.801191608,0.14605528116226196,0.0636875256896019,
,1746618348.9970315,,,,,,,1225,,,,20039.39574231,,,
,1746618352.8413556,,,,,,,1226,,,,20043.23988253,,,
,1746618356.9332232,,,,,,,1227,,,,20047.331862288,,,
,1746618360.9516578,,,,,,,1228,,,,20051.35016167,,,
261.19352520921376,1746618451.163159,315.73079897514464,613.5124456911662,79.44665361537035,1216.6619926392868,0.5015940070152283,161.17282782660413,1229,44.937388493957926,85.99729294100207,994.8954283608498,20141.562289924,0.09896066039800644,0.014003263786435127,526.4673699670643
,1746618458.562114,,,,,,,1230,,,,20148.997026959,,,
,1746618462.540762,,,,,,,1231,,,,20152.939544437,,,
,1746618466.0169244,,,,,,,1232,,,,20156.415518603,,,
,1746618469.3703294,,,,,,,1233,,,,20159.768863429,,,
,1746618506.8428206,,,,,0.5391916632652283,,1234,,,,20197.241778156,0.18133781850337982,0.1419588327407837,
,1746618514.3463821,,,,,,,1235,,,,20204.744958954,,,
,1746618517.7822678,,,,,,,1236,,,,20208.181029786,,,
,1746618521.574544,,,,,,,1237,,,,20211.973183988,,,
,1746618525.453036,,,,,,,1238,,,,20215.851485843,,,
266.88548257147033,1746618614.7383618,222.36596238235512,561.8755768690448,78.69902358702281,1015.5733194753711,0.47695857286453247,121.34769227822804,1239,39.77763689246044,64.39930166271924,895.0591387175849,20305.137446302,0.07358213514089584,0.03800070285797119,526.7562091638116
,1746618622.4987004,,,,,,,1240,,,,20312.897354765,,,
,1746618626.6013453,,,,,,,1241,,,,20317.000102455,,,
,1746618630.2224557,,,,,,,1242,,,,20320.622213696,,,
,1746618633.8821845,,,,,,,1243,,,,20324.280790211,,,
,1746618671.264735,,,,,0.469605416059494,,1244,,,,20361.663553074,0.1721290647983551,0.11336948722600937,
,1746618678.9259748,,,,,,,1245,,,,20369.324628862,,,
,1746618683.2156303,,,,,,,1246,,,,20373.614197178,,,
